# %ECSV 0.9
# ---
# datatype:
# - {name: name, datatype: string}
# - {name: Wavelength, unit: micron, datatype: float64}
# - {name: BandWidth, unit: micron, datatype: float64}
# - {name: LeftBinEdge, unit: micron, datatype: float64}
# - {name: RightBinEdge, unit: micron, datatype: float64}
# - {name: totalNoise, unit: h(1/2) ppm, datatype: float64}
# - {name: NoiseOnTransit, unit: ppm, datatype: float64}
# - {name: NoiseOnTransitFloor, unit: ppm, datatype: float64}
# delimiter: ','
# meta: !!omap
# - planetGamma: !astropy.units.Quantity
#     unit: &id001 !astropy.units.Unit {unit: ''}
#     value: 1.0
# - planetOrbitalRadius: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: AU}
#     value: 0.015016857440750592
# - starDistance: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: pc}
#     value: 80.0
# - planetb: !astropy.units.Quantity
#     unit: *id001
#     value: 0.5
# - starM: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: solMass}
#     value: 0.68275
# - starTeff: !astropy.units.Quantity
#     unit: &id002 !astropy.units.Unit {unit: K}
#     value: 4490.0
# - starR: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: solRad}
#     value: 0.65025
# - starL: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: solLum}
#     value: 0.15572583437562953
# - planetPeriod: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: d}
#     value: 0.813357515
# - {Num. to be observed: ''}
# - planetMass: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: earthMass}
#     value: 627.687541862023
# - planetTeff: !astropy.units.Quantity
#     unit: *id002
#     value: 1551.26720694818
# - {starModel: lte045.0-4.5-0.0a+0.0.BT-Settl.spec.fits.gz}
# - {planetName: WASP-43 b}
# - {starName: WASP-43}
# - planetT14: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: s}
#     value: 3184.26809323026
# - starMagK: !astropy.units.Quantity
#     unit: *id001
#     value: 9.267
# - planetR: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: earthRad}
#     value: 11.0775630984147
# - planetMMW: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: g / mol}
#     value: 2.3
# - planetAlbedo: !astropy.units.Quantity
#     unit: *id001
#     value: 0.1
# schema: astropy-2.0
name,Wavelength,BandWidth,LeftBinEdge,RightBinEdge,totalNoise,NoiseOnTransit,NoiseOnTransitFloor
AIRS-CH0,2.43933190615,0.0242719592651,2.42719592651,2.45146788578,357.628459035,491.401802034,491.808632541
AIRS-CH0,2.46372522521,0.0245146788578,2.45146788578,2.47598256464,366.905752928,504.149330431,504.545882328
AIRS-CH0,2.48836247746,0.0247598256464,2.47598256464,2.50074239028,377.631443886,518.887038607,519.272335903
AIRS-CH0,2.51324610224,0.0250074239028,2.50074239028,2.52574981419,378.279017014,519.776840841,520.161479038
AIRS-CH0,2.53837856326,0.0252574981419,2.52574981419,2.55100731233,368.746436622,506.678534305,507.073108265
AIRS-CH0,2.56376234889,0.0255100731233,2.55100731233,2.57651738545,354.713387869,487.396328789,487.806499872
AIRS-CH0,2.58939997238,0.0257651738545,2.57651738545,2.60228255931,359.236185237,493.610909092,494.015920366
AIRS-CH0,2.6152939721,0.0260228255931,2.60228255931,2.6283053849,358.213543781,492.205741684,492.611908247
AIRS-CH0,2.64144691182,0.026283053849,2.6283053849,2.65458843875,355.74376602,488.812126854,489.221110909
AIRS-CH0,2.66786138094,0.0265458843875,2.65458843875,2.68113432314,377.282063036,518.406969488,518.792623323
AIRS-CH0,2.69453999475,0.0268113432314,2.68113432314,2.70794566637,390.404578328,536.438050346,536.810750506
AIRS-CH0,2.7214853947,0.0270794566637,2.70794566637,2.73502512303,378.871659591,520.591165382,520.975202359
AIRS-CH0,2.74870024865,0.0273502512303,2.73502512303,2.76237537426,382.224960136,525.198790667,525.579460898
AIRS-CH0,2.77618725113,0.0276237537426,2.76237537426,2.789999128,380.639151473,523.019799552,523.402054566
AIRS-CH0,2.80394912364,0.02789999128,2.789999128,2.81789911928,374.002997086,513.90134675,514.290379252
AIRS-CH0,2.83198861488,0.0281789911928,2.81789911928,2.84607811048,390.34250256,536.352754717,536.725514106
AIRS-CH0,2.86030850103,0.0284607811048,2.84607811048,2.87453889158,381.915823221,524.774018999,525.154997135
AIRS-CH0,2.88891158604,0.0287453889158,2.87453889158,2.9032842805,371.128726463,509.951935767,510.343978894
AIRS-CH0,2.9178007019,0.029032842805,2.9032842805,2.9323171233,383.523349559,526.982851431,527.362233861
AIRS-CH0,2.94697870892,0.029323171233,2.9323171233,2.96164029454,389.709030291,535.482327862,535.85569275
AIRS-CH0,2.97644849601,0.0296164029453,2.96164029454,2.99125669748,395.762084435,543.799567833,544.167226113
AIRS-CH0,3.00621298097,0.0299125669748,2.99125669748,3.02116926446,393.057081999,540.082740947,540.452927709
AIRS-CH0,3.03627511078,0.0302116926446,3.02116926446,3.0513809571,409.113777596,562.14555209,562.501219318
AIRS-CH0,3.06663786189,0.030513809571,3.0513809571,3.08189476667,412.019317523,566.137928871,566.491089521
AIRS-CH0,3.0973042405,0.0308189476667,3.08189476667,3.11271371434,404.539964811,555.86087371,556.2205596
AIRS-CH0,3.12827728291,0.0311271371434,3.11271371434,3.14384085148,417.171561682,573.217404792,573.566206428
AIRS-CH0,3.15956005574,0.0314384085148,3.14384085148,3.17527926,417.586514994,573.787574196,574.136029441
AIRS-CH0,3.1911556563,0.0317527926,3.17527926,3.2070320526,410.984501967,564.71603356,565.070082875
AIRS-CH0,3.22306721286,0.032070320526,3.2070320526,3.23910237312,426.058761773,585.428922163,585.7704524
AIRS-CH0,3.25529788499,0.0323910237312,3.23910237312,3.27149339685,432.112365938,593.746917894,594.083666253
AIRS-CH0,3.28785086384,0.0327149339685,3.27149339685,3.30420833082,431.235608547,592.542203473,592.879636095
AIRS-CH0,3.32072937248,0.0330420833082,3.30420833082,3.33725041413,452.016478174,621.096297882,621.418225708
AIRS-CH0,3.3539366662,0.0333725041413,3.33725041413,3.37062291827,460.805568845,633.173007341,633.488798026
AIRS-CH0,3.38747603286,0.0337062291827,3.37062291827,3.40432914745,460.523989122,632.786100819,633.102084493
AIRS-CH0,3.42135079319,0.0340432914745,3.40432914745,3.43837243893,477.384885223,655.953929101,656.258757734
AIRS-CH0,3.45556430112,0.0343837243893,3.43837243893,3.47275616332,478.709422915,657.773919072,658.077904668
AIRS-CH0,3.49011994413,0.0347275616332,3.47275616332,3.50748372495,476.084967363,654.167768177,654.473428736
AIRS-CH0,3.52502114358,0.0350748372495,3.50748372495,3.5425585622,466.773714767,641.373578595,641.685333571
AIRS-CH0,3.56027135501,0.035425585622,3.5425585622,3.57798414782,477.974471638,656.764054301,657.068507099
AIRS-CH0,3.59587406856,0.0357798414782,3.57798414782,3.6137639893,479.386298879,658.703985067,659.007541644
AIRS-CH0,3.63183280925,0.036137639893,3.6137639893,3.64990162919,471.871169612,648.377770888,648.686159696
AIRS-CH0,3.66815113734,0.0364990162919,3.64990162919,3.68640064549,493.460960061,678.043368422,678.338270674
AIRS-CH0,3.70483264871,0.0368640064549,3.68640064549,3.72326465194,503.848444501,692.316361645,692.605186669
AIRS-CH0,3.7418809752,0.0372326465194,3.72326465194,3.76049729846,511.647206197,703.03230288,703.316727295
AIRS-CH0,3.77929978495,0.0376049729846,3.76049729846,3.79810227144,562.753021574,773.254594021,773.513197802
AIRS-CH0,3.8170927828,0.0379810227144,3.79810227144,3.83608329416,645.619931657,887.118432078,887.343852479
AIRS-CH0,3.85526371063,0.0383608329416,3.83608329416,3.8744441271,825.98284527,1134.94731295,1135.1235189
AIRS-CH0,3.89381634774,0.038744441271,3.8744441271,3.91318856837,1709.40074496,2348.81365073,2348.89879856
AIRS-CH1,3.965,0.13,3.9,4.03,304.509107532,418.412797965,418.890522095
AIRS-CH1,4.09716666667,0.134333333333,4.03,4.16433333333,300.452133654,412.83828558,413.322452863
AIRS-CH1,4.23373888889,0.138811111111,4.16433333333,4.30314444444,313.345598283,430.554637825,431.018904635
AIRS-CH1,4.37486351852,0.143438148148,4.30314444444,4.44658259259,342.381264123,470.45129078,470.876222586
AIRS-CH1,4.52069230247,0.148219419753,4.44658259259,4.59480201235,365.984382453,502.8833151,503.280864534
AIRS-CH1,4.67138204588,0.153160067078,4.59480201235,4.74796207942,368.397110568,506.198540478,506.593488294
AIRS-CH1,4.82709478075,0.158265402647,4.74796207942,4.90622748207,366.439759798,503.50902942,503.906085206
AIRS-CH1,4.98799794011,0.163540916069,4.90622748207,5.06976839814,375.30643895,515.692349855,516.080032262
AIRS-CH1,5.15426453811,0.168992279938,5.06976839814,5.23876067808,401.617616197,551.84540084,552.207702253
AIRS-CH1,5.32607335605,0.174625355936,5.23876067808,5.41338603401,417.665331975,573.895873201,574.244262729
AIRS-CH1,5.50360913458,0.180446201134,5.41338603401,5.59383223515,426.213808204,585.641964759,585.983370828
AIRS-CH1,5.6870627724,0.186461074505,5.59383223515,5.78029330965,423.774579351,582.290325862,582.633695895
AIRS-CH1,5.87663153148,0.192676443655,5.78029330965,5.97296975331,423.619432406,582.077145153,582.420640869
AIRS-CH1,6.0725192492,0.199098991777,5.97296975331,6.17206874509,428.801535037,589.19764831,589.536995255
AIRS-CH1,6.2749365575,0.205735624836,6.17206874509,6.37780436992,442.031265189,607.376048471,607.705244552
AIRS-CH1,6.48410110942,0.212593478997,6.37780436992,6.59039784892,470.566542329,646.585138949,646.894382345
AIRS-CH1,6.70023781307,0.219679928297,6.59039784892,6.81007777722,494.717031543,679.769281933,680.063435761
AIRS-CH1,6.9235790735,0.227002592574,6.81007777722,7.03708036979,507.057070009,696.725195217,697.01219333
AIRS-CH1,7.15436504262,0.23456934566,7.03708036979,7.27164971545,515.095733917,707.77077571,708.053296686
AIRS-CH1,7.39284387737,0.242388323848,7.27164971545,7.5140380393,542.938887966,746.028849776,746.296887772
AIRS-CH1,7.63927200662,0.250467934643,7.5140380393,7.76450597394,581.952471383,799.635727837,799.885802621
AIRS-CH1,7.89391440684,0.258816865798,7.76450597394,8.02332283974,2016.8620933,2771.28299514,2771.35516294
